InvoiceNo,StockCode,Quantity,UnitPrice
536398,22064,12,1.65
536398,22449,6,3.35
536398,22114,4,3.95
536398,22835,8,4.65
536398,22112,9,4.95
536398,21479,4,3.75
536398,22111,9,4.95
536399,22632,6,1.85
536399,22633,6,1.85
536400,22969,12,1.45
536401,22110,1,2.55
536401,22098,1,1.25
536401,22100,2,1.25
536401,22766,1,2.95
536401,22451,1,3.35
536401,22549,1,1.45
536401,84744,1,1.25
536401,85049E,2,1.25
536401,21328,1,1.65
536401,22961,4,1.45
536401,17091A,1,1.25
536401,22473,1,4.95
536401,84509A,2,3.75
536401,84510A,2,1.25
536401,22767,2,9.95
536401,22768,1,9.95
536401,21463,1,5.95
536401,21464,1,4.25
536401,20820,3,4.95
536401,85150,1,2.55
536401,22117,1,2.95
536401,21169,2,1.69
536401,48129,1,7.95
536401,82580,1,0.55
536401,82578,1,0.55
536401,82581,2,0.55
536401,22413,4,2.95
536401,21907,2,2.1
536401,22441,1,2.1
536401,21122,1,1.25
536401,22851,1,0.85
536401,84991,3,0.55
536401,22810,1,2.95
536401,22809,1,2.95
536401,22435,2,1.25
536401,20966,3,1.25
536401,20963,1,1.25
536401,20961,1,1.25
536401,22068,2,1.65
536401,21743,2,2.95
536401,21744,2,2.95
536401,84709B,1,5.95
536401,21592,1,1.25
536401,21587,2,2.55
536401,20992,9,0.85
536401,22662,1,1.65
536401,85123A,4,2.95
536401,22804,3,2.95
536401,82483,1,5.95
536401,20749,1,7.95
536401,20725,1,1.65
536401,22382,2,1.65
536401,20726,1,1.65
536401,22384,1,1.65
536401,22467,5,2.55
536401,84625C,3,2.95
536401,84625A,3,2.95
536401,21108,9,2.55
536401,22848,1,16.95
536401,21033,4,2.95
536401,47570B,1,10.65
536401,84030E,1,4.25
536401,22428,2,6.95
536401,22502,2,5.95
536402,22086,40,2.55
536402,22910,40,2.55
536402,22837,36,4.25
536403,22867,96,1.85
536403,POST,1,15
536404,22297,24,1.25
536404,22771,12,1.25
536404,22772,12,1.25
536404,22773,12,1.25
536404,22805,12,1.25
536404,22469,12,1.65
536404,22197,36,0.85
536404,21125,12,1.25
536404,21126,12,1.25
536404,85049C,12,1.25
536404,85049D,12,1.25
536404,85049E,12,1.25
536404,85049G,12,1.25
536404,21061,12,0.85
536404,21063,12,0.85
536404,21062,12,0.85
536404,84380,12,1.25
536404,84378,12,1.25
536404,22964,12,2.1
536404,21213,24,0.55
536404,22417,24,0.55
536404,21212,24,0.55
536404,84992,24,0.55
536404,21975,24,0.55
536404,22383,10,1.65
536404,20728,10,1.65
536404,20727,10,1.65
536404,22296,24,1.65
536405,20914,128,2.55
536406,85123A,8,2.55
536406,71053,8,3.39
536406,84406B,8,2.75
536406,20679,6,4.95
536406,37370,6,1.06
536406,21871,6,1.06
536406,21071,6,1.06
536406,21068,6,1.06
536406,82483,4,4.95
536406,82486,4,6.95
536406,82482,6,2.1
536406,82494L,6,2.55
536406,84029G,6,3.39
536406,84029E,6,3.39
536406,22752,2,7.65
536406,22803,2,35.75
536406,21730,6,4.25
536407,22632,6,1.85
536407,22633,6,1.85
536408,22537,24,0.42
536408,22533,24,0.42
536408,20982,12,0.85
536408,21832,12,1.65
536408,21915,12,1.25
536408,21914,12,1.25
536408,21544,12,0.85
536408,22813,12,1.95
536408,22114,4,3.95
536408,84029E,4,3.75
536408,21479,4,3.75
536408,22964,6,2.1
536408,84375,12,2.1
536408,22418,24,0.85
536408,22178,12,1.25
536408,84970L,12,0.95
536408,21733,6,2.95
536408,22465,12,1.65
536408,84949,6,1.65
536408,20685,2,7.95
536408,48194,2,7.95
536408,22488,12,1.65
536408,22219,12,0.85
536408,84879,8,1.69
536408,21754,3,5.95
536408,21755,3,5.95
536408,22766,8,2.95
536408,22610,36,0.85
536408,22716,12,0.42
536408,22706,25,0.42
536408,22371,4,4.25
536408,85014B,3,5.95
536408,85014A,3,5.95
536408,84997B,6,3.75
536408,21212,24,0.55
536408,21210,12,1.45
536408,22914,3,4.95
536408,22553,12,1.65
536408,16237,30,0.21
536408,22714,12,0.42
536408,22812,12,1.95
536408,84347,6,2.55
536408,21587,12,2.55
536408,22736,10,1.65
536408,22492,36,0.65
536408,22620,12,1.25
536408,22619,4,3.75
536408,21705,12,1.65
536409,90199C,3,6.35
536409,21479,1,3.75
536409,22111,1,4.95
536409,22785,1,6.75
536409,22975,1,1.25
536409,22972,1,1.65
536409,22866,1,2.1
536409,22568,1,3.75
536409,85116,1,2.1
536409,22664,1,2.1
536409,21609,1,2.95
536409,21866,1,1.25
536409,20669,1,1.25
536409,90129F,1,2.95
536409,90210B,1,2.95
536409,90199C,1,6.35
536409,21955,1,7.95
536409,72802C,1,4.25
